label,message
ham,"Hello, how are you doing today?"
spam,"WINNER!! You have won a free ticket to Bahamas. Call now!"
ham,"Are we still meeting tomorrow?"
spam,"Claim your free prize now!!! Limited time offer."
ham,"Can you send me the report by tonight?"
spam,"Congratulations! You've been selected for a $1000 gift card."
ham,"This is just a normal message."
spam,"You have been chosen for a free trip to Paris!"
ham,"Let's have lunch tomorrow."
spam,"Free entry in 2 a weekly competition! Text WIN to 80085 now!"
ham,"Don't forget to bring your notes."
spam,"URGENT! Your account has been compromised. Verify now!"
ham,"Meet me at the library at 3 PM."
spam,"Exclusive deal just for you! Click to claim."
ham,"Thanks for your help earlier."
spam,"Final warning! You won a lottery. Respond immediately!"
